"","color","congruency","rt","acc","sub"
"129","red","neutral",1.02044961037791,TRUE,1
"130","blue","incongruent",1.095361910262,TRUE,1
"131","green","congruent",0.825568841877612,TRUE,1
"132","red","congruent",0.594767242886519,TRUE,1
"133","green","neutral",1.26484902001175,TRUE,1
"134","green","congruent",0.425231580804393,TRUE,1
"135","red","neutral",0.559711670204706,TRUE,1
"136","green","neutral",0.690477778798595,TRUE,2
"137","blue","incongruent",0.505419068442279,TRUE,2
"138","red","congruent",0.560253164858295,TRUE,2
"139","red","congruent",0.380391091861384,TRUE,2
"140","red","incongruent",0.361037416972977,TRUE,2
"141","red","incongruent",0.295512023712945,TRUE,2
"142","blue","neutral",0.405479028124319,FALSE,2
"143","green","neutral",0.455528191905614,TRUE,2
"144","green","incongruent",0.455505297491982,TRUE,2
"145","blue","congruent",0.475170020632504,TRUE,2
"146","green","congruent",0.545273902065674,TRUE,2
"147","blue","neutral",0.460406675852937,TRUE,2
"148","red","neutral",0.514996433603301,TRUE,2
"149","green","neutral",0.874897813939242,TRUE,2
"150","green","congruent",0.350518222967366,TRUE,2
"151","green","congruent",0.305360174534144,TRUE,2
"152","blue","congruent",0.365274857314944,FALSE,2
"153","red","neutral",0.699945013931938,TRUE,2
"154","green","neutral",0.689816209165656,TRUE,2
"155","blue","incongruent",0.894855032962369,FALSE,2
"156","green","incongruent",0.914906198031531,TRUE,2
"157","green","incongruent",0.574922958321622,TRUE,2
"158","blue","congruent",0.67017635409502,TRUE,2
"159","green","congruent",0.489978364779745,TRUE,2
"160","blue","neutral",0.350438881978334,TRUE,2
"161","red","neutral",0.390054508443427,TRUE,2
"162","blue","neutral",0.570191709142819,TRUE,2
"163","green","congruent",0.475279361198773,TRUE,2
"164","blue","congruent",0.395272856027077,TRUE,2
"165","blue","congruent",0.709608825243777,TRUE,2
"166","green","congruent",0.450021690483482,TRUE,2
"167","red","incongruent",0.735356357483397,TRUE,2
"168","green","neutral",0.429706055454517,FALSE,2
"169","green","incongruent",0.605097007186487,TRUE,2
"170","blue","congruent",0.450025637797808,TRUE,2
"171","red","neutral",0.495160791815579,TRUE,2
"172","blue","congruent",0.480013768226854,TRUE,2
"173","red","incongruent",0.839957384810987,TRUE,2
"174","red","incongruent",0.605471212445991,FALSE,2
"175","blue","incongruent",0.775392372765054,FALSE,2
"176","green","incongruent",1.17531713698372,TRUE,2
"177","red","incongruent",0.725413865882729,TRUE,2
"178","blue","congruent",0.40019002363988,TRUE,2
"179","blue","congruent",0.440678795705026,TRUE,2
"180","green","neutral",0.650367159303642,TRUE,2
"181","blue","incongruent",1.05493277923597,FALSE,2
"182","red","incongruent",0.99536743364115,TRUE,2
"183","blue","incongruent",1.00980512511342,TRUE,2
"184","blue","incongruent",0.500538216105269,TRUE,2
"185","red","neutral",0.60565199937264,TRUE,2
"186","red","congruent",0.495433156400395,TRUE,2
"187","blue","incongruent",0.535243780119345,TRUE,2
"188","green","incongruent",0.554718242783565,TRUE,2
"189","green","congruent",0.590096823636486,TRUE,2
"190","green","congruent",0.385249049782942,TRUE,2
"191","green","incongruent",0.370272550109803,TRUE,2
"192","green","incongruent",0.355306708181161,TRUE,2
"193","red","neutral",0.49494882111685,TRUE,2
"194","red","neutral",0.445385176813943,TRUE,2
"195","green","incongruent",0.959971879343357,TRUE,2
"196","green","neutral",0.439938674546283,TRUE,2
"197","red","neutral",0.720114598387227,TRUE,2
"198","blue","neutral",0.420025665427602,TRUE,2
"199","green","incongruent",0.584982685111754,TRUE,2
"200","red","congruent",0.464986348219099,TRUE,2
"201","green","congruent",0.505327885515726,TRUE,2
"202","red","neutral",0.540044896737527,TRUE,2
"203","green","congruent",0.44030459044734,TRUE,2
"204","blue","incongruent",0.500120590408187,TRUE,2
"205","blue","neutral",0.339942582388176,TRUE,2
"206","green","neutral",0.524921557025664,TRUE,2
"207","blue","neutral",0.410484220814396,FALSE,2
"208","green","neutral",0.620164689786179,TRUE,2
"209","green","neutral",0.370121762760391,TRUE,2
"210","green","congruent",0.364860389465321,TRUE,2
"211","blue","incongruent",0.580456301471713,TRUE,2
"212","green","congruent",0.480273106681125,TRUE,2
"213","green","congruent",0.390221085044686,TRUE,2
"214","blue","congruent",0.420234873010486,TRUE,2
"215","green","incongruent",0.419714222445691,TRUE,2
"216","red","congruent",0.445101365019582,TRUE,2
"217","green","incongruent",0.605224900124085,TRUE,2
"218","red","neutral",0.495690521200231,TRUE,2
"219","blue","incongruent",0.459856025710906,TRUE,2
"220","blue","congruent",0.370383469600711,TRUE,2
"221","blue","neutral",0.41981251053403,TRUE,2
"222","red","congruent",0.494959478859528,TRUE,2
"223","blue","congruent",0.535141939448295,TRUE,2
"224","red","congruent",0.495441445758843,TRUE,2
"225","red","congruent",0.44962261715591,TRUE,2
"226","green","neutral",0.445414781659565,FALSE,2
"227","blue","incongruent",0.530353848966115,TRUE,2
"228","green","neutral",0.589719855259318,TRUE,2
"229","blue","incongruent",0.800039394182022,TRUE,2
"230","blue","neutral",0.374730645238742,TRUE,2
"231","red","neutral",0.439874333347689,TRUE,2
"232","blue","neutral",0.636285515452983,TRUE,2
"233","red","incongruent",0.454890306151356,TRUE,2
"234","green","neutral",0.424904149374925,TRUE,2
"235","green","congruent",0.365126833083195,TRUE,2
"236","blue","incongruent",0.409706600183199,TRUE,2
"237","red","incongruent",0.520657274955738,TRUE,2
"238","green","congruent",0.324917925498085,TRUE,2
"239","blue","congruent",0.535554828373279,TRUE,2
"240","red","neutral",0.565238226252404,TRUE,2
"241","red","congruent",0.350118754908181,TRUE,2
"242","blue","congruent",0.310432076810685,FALSE,2
"243","red","congruent",0.450671418178899,TRUE,2
"244","blue","congruent",0.420148032126235,FALSE,2
"245","green","neutral",0.88980602509946,TRUE,2
"246","green","neutral",0.380425038752946,TRUE,2
"247","green","incongruent",0.40569889344988,TRUE,2
"248","red","neutral",0.409636732745639,TRUE,2
"249","red","congruent",0.48542040263419,TRUE,2
"250","blue","incongruent",0.405513369745677,TRUE,2
"251","red","incongruent",0.820006481488235,TRUE,2
"252","green","incongruent",0.794853809295091,TRUE,2
"253","red","congruent",0.520168202894638,TRUE,2
"254","red","congruent",0.409796204183294,TRUE,2
"255","red","neutral",0.450378922298114,TRUE,2
"256","blue","neutral",0.440562349976972,FALSE,2
"257","blue","neutral",0.490297702388489,TRUE,2
"258","red","incongruent",0.539810821084757,FALSE,2
"259","blue","incongruent",0.575434530066559,TRUE,2
"260","red","congruent",0.440103277493108,TRUE,2
"261","red","incongruent",0.324993319172791,TRUE,2
"262","red","neutral",0.315411611969466,TRUE,2
"263","blue","neutral",0.439601179297824,TRUE,2
"264","red","incongruent",0.410609350630693,TRUE,2
"265","blue","neutral",0.335167912766337,TRUE,2
"266","green","incongruent",0.470520086098986,TRUE,2
"267","blue","neutral",0.63034559908192,TRUE,2
"268","red","incongruent",0.540117132561136,TRUE,2
"269","red","incongruent",0.375259585161984,TRUE,2
"270","red","congruent",0.290397885188213,TRUE,2
"271","blue","incongruent",2.80537286285016,TRUE,3
"272","blue","congruent",1.09039321891032,TRUE,3
"273","red","congruent",0.915691888917536,TRUE,3
"274","blue","incongruent",1.32143705805356,TRUE,3
"275","blue","congruent",1.20009331340771,TRUE,3
"276","green","neutral",1.01998343726518,TRUE,3
"277","green","neutral",0.650529052284583,TRUE,3
"278","green","congruent",4.13978853697699,TRUE,3
"279","red","neutral",1.1647893461668,TRUE,3
"280","green","neutral",0.954754049698749,TRUE,3
"281","blue","incongruent",0.975210369630076,TRUE,3
"282","blue","incongruent",0.534891083043476,TRUE,3
"283","blue","congruent",0.614784964699538,TRUE,3
"284","green","congruent",0.529446616757923,TRUE,3
"285","green","congruent",0.525075017822019,TRUE,3
"286","red","congruent",0.45565600036025,TRUE,3
"287","green","congruent",0.960271935164201,TRUE,3
"288","green","neutral",0.545616598734341,TRUE,3
"289","red","neutral",0.62987615842485,TRUE,3
"290","red","neutral",1.16003920426283,TRUE,3
"291","red","congruent",0.704890822523339,TRUE,3
"292","green","congruent",0.594910077295026,TRUE,3
"293","green","congruent",0.435668221100059,TRUE,3
"294","green","incongruent",0.505554989780649,TRUE,3
"295","red","neutral",0.835540645410219,TRUE,3
"296","blue","congruent",0.660617873701085,TRUE,3
"297","blue","incongruent",0.304738536937293,TRUE,3
"298","green","incongruent",0.835057499847608,TRUE,3
"299","red","congruent",0.515718414556432,TRUE,3
"300","red","congruent",1.15557563399034,TRUE,3
"301","red","neutral",0.704748720888347,TRUE,3
"302","green","neutral",0.489756050964388,TRUE,3
"303","green","congruent",0.405451887148956,TRUE,3
"304","green","neutral",0.459642345971588,TRUE,3
"305","blue","neutral",1.03496963366979,TRUE,3
"306","blue","incongruent",0.470062343145401,TRUE,3
"307","green","neutral",0.805129711163318,TRUE,3
"308","red","incongruent",0.644893538244105,TRUE,3
"309","green","congruent",0.770532304833068,TRUE,3
"310","green","congruent",0.449982592549532,TRUE,3
"311","green","congruent",0.400077287500608,TRUE,3
"312","blue","neutral",0.53005883797141,TRUE,3
"313","green","congruent",0.569895057941721,TRUE,3
"314","blue","incongruent",0.600497829397682,TRUE,3
"315","red","neutral",0.350536709983317,TRUE,3
"316","green","incongruent",0.795063783897604,TRUE,3
"317","red","congruent",0.500326439035234,TRUE,3
"318","blue","incongruent",0.884719258482619,TRUE,3
"319","red","incongruent",0.77524257933419,TRUE,3
"320","green","neutral",0.605078633519952,TRUE,3
"321","green","neutral",0.544683069932944,TRUE,3
"322","green","congruent",0.435140076688185,TRUE,3
"323","green","neutral",0.390612529101418,TRUE,3
"324","red","neutral",1.02475331550704,TRUE,3
"325","blue","congruent",0.620218773362467,TRUE,3
"326","blue","congruent",0.729965050892133,TRUE,3
"327","blue","incongruent",0.865903028264256,TRUE,3
"328","blue","neutral",0.444684964621047,TRUE,3
"329","red","congruent",0.454849573577121,TRUE,3
"330","red","incongruent",2.62534548460189,TRUE,3
"331","blue","incongruent",1.12463418696916,TRUE,3
"332","red","incongruent",0.735081104508936,TRUE,3
"333","red","incongruent",1.14983946462507,TRUE,3
"334","green","congruent",0.940104555225844,TRUE,3
"335","green","congruent",0.440493755817442,TRUE,3
"336","blue","congruent",0.600274808773975,TRUE,3
"337","blue","incongruent",0.439817194140232,TRUE,3
"338","blue","congruent",0.540199763321652,TRUE,3
"339","blue","neutral",0.425635845611396,TRUE,3
"340","red","neutral",0.420029541351141,TRUE,3
"341","blue","neutral",0.424503769245348,FALSE,3
"342","blue","congruent",0.599979553154299,TRUE,3
"343","red","incongruent",0.850210270948082,TRUE,3
"344","red","congruent",0.520498950421825,TRUE,3
"345","green","incongruent",0.609638911848378,TRUE,3
"346","red","neutral",0.680340396574138,TRUE,3
"347","red","neutral",0.750440712435193,TRUE,3
"348","blue","neutral",0.649751440555519,TRUE,3
"349","red","neutral",0.610103505252482,TRUE,3
"350","blue","neutral",0.780273371969088,TRUE,3
"351","blue","congruent",0.589864679770471,TRUE,3
"352","red","incongruent",0.729706899586745,TRUE,3
"353","blue","neutral",0.815588786286753,TRUE,3
"354","red","neutral",0.804986425346215,TRUE,3
"355","red","incongruent",0.635369965556492,TRUE,3
"356","red","incongruent",0.690411850013334,TRUE,3
"357","blue","congruent",0.560382932330867,TRUE,3
"358","blue","incongruent",0.939977058480508,TRUE,3
"359","green","neutral",0.500152759258526,TRUE,3
"360","green","incongruent",2.32500854583395,TRUE,3
"361","red","congruent",0.744664675664353,TRUE,3
"362","green","neutral",1.00508605438154,TRUE,3
"363","blue","neutral",0.925317301111136,TRUE,3
"364","red","congruent",0.845271449649772,TRUE,3
"365","blue","neutral",0.699913318001563,TRUE,3
"366","green","incongruent",0.829942235684939,TRUE,3
"367","green","incongruent",0.78011232344852,TRUE,3
"368","green","incongruent",0.480341028137445,TRUE,3
"369","blue","incongruent",0.740196763398671,TRUE,3
"370","red","congruent",0.599749427448842,TRUE,3
"371","red","incongruent",0.765621509134689,TRUE,3
"372","blue","congruent",0.77015849858617,TRUE,3
"373","green","congruent",0.675511309316789,TRUE,3
"374","red","neutral",1.00463330278126,TRUE,3
