WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
5,1,2,2,103,3,0.8,0.773899121,2,1,0.201424943
3,1,2,1,104,3,0.8,0.789938294,1,1,0.524735241
5,1,4,1,105,3,1.4,0.885866982,1,1,0.171219188
1,1,1,1,106,3,0.5,0.470167813,1,1,0.208947906
5,1,1,1,107,3,0.5,0.549924211,1,1,0.210721375
1,1,2,1,108,3,0.8,0.677971055,1,1,0.209038531
3,1,5,2,109,3,1.7,1.093992439,1,1,0.35181662
3,1,3,1,110,3,1.1,1.173960329,1,1,0.134121029
1,1,5,2,111,3,1.7,1.414017332,2,1,0.223709137
3,1,4,2,112,3,1.4,1.237992926,2,1,0.185744309
3,1,5,1,113,3,1.7,1.253963987,1,1,0.35181662
5,1,1,2,114,3,0.5,1.238025894,1,1,0.210721375
1,1,1,2,115,3,0.5,0.917994158,2,1,0.208947906
5,1,5,1,116,3,1.7,1.094010478,1,1,0.151799527
1,1,2,2,117,3,0.8,1.094095074,1,1,0.209038531
3,1,3,2,118,3,1.1,1.013977584,1,1,0.134121029
5,1,3,1,119,3,1.1,1.173931093,1,1,0.168194701
1,1,4,2,120,3,1.4,1.14200048,2,1,0.186852648
5,1,5,2,121,3,1.7,0.870033391,2,1,0.151799527
1,1,4,1,122,3,1.4,1.125966905,1,1,0.186852648
3,1,5,2,123,3,1.7,1.461963793,2,1,0.35181662
3,1,4,2,124,3,1.4,1.285896155,2,1,0.185744309
5,1,4,1,125,3,1.4,1.077984056,2,1,0.171219188
1,1,2,2,126,3,0.8,0.742009562,2,1,0.209038531
3,1,4,1,127,3,1.4,0.950003147,1,1,0.185744309
5,1,1,2,128,3,0.5,0.982068431,2,1,0.210721375
3,1,1,1,129,3,0.5,0.85397058,2,1,0.19998631
1,1,4,2,130,3,1.4,0.917946883,1,1,0.186852648
5,1,3,1,131,3,1.1,0.63003828,1,1,0.168194701
5,1,3,2,132,3,1.1,0.981995653,2,1,0.168194701
5,1,4,2,133,3,1.4,1.093952006,2,1,0.171219188
5,1,1,1,134,3,0.5,1.093945786,2,1,0.210721375
3,1,3,1,135,3,1.1,1.029906346,2,1,0.134121029
3,1,3,2,136,3,1.1,1.237948451,2,1,0.134121029
1,1,2,1,137,3,0.8,1.045946142,1,1,0.209038531
1,1,3,2,138,3,1.1,0.870081288,2,1,0.181605703
3,1,1,2,139,3,0.5,0.629953683,2,1,0.19998631
5,1,5,1,140,3,1.7,0.966045742,1,1,0.151799527
3,1,5,1,141,3,1.7,1.174031863,1,1,0.35181662
5,1,2,1,142,3,0.8,0.917963056,1,1,0.201424943
1,1,5,1,143,3,1.7,1.381932765,1,1,0.223709137
3,1,2,2,144,3,0.8,0.901940367,2,1,0.524735241
1,1,1,1,145,3,0.5,1.045948319,1,1,0.208947906
1,1,5,2,146,3,1.7,1.157927998,2,1,0.223709137
1,1,3,1,147,3,1.1,1.493955365,1,1,0.181605703
5,1,2,2,148,3,0.8,0.998001859,1,1,0.201424943
1,1,1,2,149,3,0.5,0.597935985,2,1,0.208947906
3,1,2,1,150,3,0.8,1.045964181,1,1,0.524735241
5,1,3,1,151,3,1.1,1.046087344,1,1,0.168194701
3,1,4,1,152,3,1.4,0.885982991,1,1,0.185744309
3,1,1,1,153,3,0.5,1.078051236,1,1,0.19998631
5,1,4,2,154,3,1.4,1.014047252,2,1,0.171219188
1,1,5,2,155,3,1.7,1.061977851,2,1,0.223709137
3,1,3,2,156,3,1.1,0.965946838,2,1,0.134121029
1,1,4,2,157,3,1.4,1.125989921,2,1,0.186852648
5,1,1,2,158,3,0.5,0.933923853,1,1,0.210721375
1,1,4,1,159,3,1.4,1.09400208,1,1,0.186852648
1,1,3,1,160,3,1.1,1.093987151,1,1,0.181605703
3,1,4,2,161,3,1.4,1.061949859,1,1,0.185744309
